"dep_code","genre_candidat-es","candidat-es","qualifiables","premiere_position","elu-es"
"01",FEMININ,11,4,1,0
"01",MASCULIN,25,10,4,0
"02",FEMININ,10,1,0,0
"02",MASCULIN,17,9,5,4
"03",FEMININ,7,3,1,0
"03",MASCULIN,11,5,2,0
"04",FEMININ,7,2,1,0
"04",MASCULIN,6,4,1,0
"05",FEMININ,4,3,0,0
"05",MASCULIN,6,3,2,0
"06",FEMININ,26,9,3,2
"06",MASCULIN,33,11,6,1
"07",FEMININ,9,3,1,0
"07",MASCULIN,17,4,2,0
"08",FEMININ,8,2,1,0
"08",MASCULIN,10,4,2,0
"09",FEMININ,5,2,1,1
"09",MASCULIN,4,2,1,0
"10",FEMININ,6,2,1,0
"10",MASCULIN,11,3,2,1
"11",FEMININ,10,2,0,0
"11",MASCULIN,15,5,3,0
"12",FEMININ,3,1,1,0
"12",MASCULIN,12,8,2,0
"13",FEMININ,52,11,3,0
"13",MASCULIN,74,28,13,3
"14",FEMININ,13,5,1,0
"14",MASCULIN,26,11,5,0
"15",FEMININ,4,2,0,0
"15",MASCULIN,9,3,2,0
"16",FEMININ,8,5,1,0
"16",MASCULIN,12,4,2,0
"17",FEMININ,10,4,1,0
"17",MASCULIN,17,10,4,0
"18",FEMININ,5,0,0,0
"18",MASCULIN,13,8,3,0
"19",FEMININ,5,3,0,0
"19",MASCULIN,4,3,2,0
"21",FEMININ,12,7,3,0
"21",MASCULIN,18,8,2,0
"22",FEMININ,11,5,0,0
"22",MASCULIN,20,10,5,0
"23",FEMININ,5,2,0,0
"23",MASCULIN,2,1,1,0
"24",FEMININ,10,5,3,0
"24",MASCULIN,14,6,1,0
"25",FEMININ,12,7,3,0
"25",MASCULIN,16,7,2,0
"26",FEMININ,11,4,2,0
"26",MASCULIN,15,7,2,0
"27",FEMININ,14,4,2,0
"27",MASCULIN,19,8,3,0
"28",FEMININ,7,2,1,0
"28",MASCULIN,16,8,3,0
"29",FEMININ,23,12,5,0
"29",MASCULIN,33,13,3,0
"2A",FEMININ,3,1,1,0
"2A",MASCULIN,11,3,1,0
"2B",FEMININ,4,1,0,0
"2B",MASCULIN,14,4,2,0
"30",FEMININ,16,5,2,0
"30",MASCULIN,20,10,4,1
"31",FEMININ,36,15,3,0
"31",MASCULIN,37,13,7,1
"32",FEMININ,6,1,0,0
"32",MASCULIN,9,4,2,0
"33",FEMININ,33,18,3,1
"33",MASCULIN,39,16,9,0
"34",FEMININ,25,11,4,1
"34",MASCULIN,30,12,5,1
"35",FEMININ,21,13,3,0
"35",MASCULIN,27,10,5,1
"36",FEMININ,4,2,1,0
"36",MASCULIN,6,4,1,0
"37",FEMININ,11,6,1,0
"37",MASCULIN,20,8,4,0
"38",FEMININ,37,18,5,0
"38",MASCULIN,30,10,5,0
"39",FEMININ,8,6,3,0
"39",MASCULIN,6,3,0,0
"40",FEMININ,9,4,1,0
"40",MASCULIN,14,4,2,0
"41",FEMININ,5,2,2,0
"41",MASCULIN,16,5,1,0
"42",FEMININ,13,5,2,0
"42",MASCULIN,24,12,4,0
"43",FEMININ,5,2,0,0
"43",MASCULIN,5,4,2,0
"44",FEMININ,31,13,4,0
"44",MASCULIN,32,16,6,1
"45",FEMININ,19,8,3,0
"45",MASCULIN,22,9,3,0
"46",FEMININ,4,3,0,0
"46",MASCULIN,8,3,2,0
"47",FEMININ,4,2,2,0
"47",MASCULIN,10,7,1,0
"48",FEMININ,2,1,1,0
"48",MASCULIN,4,2,0,0
"49",FEMININ,21,10,3,0
"49",MASCULIN,25,11,4,0
"50",FEMININ,8,3,1,0
"50",MASCULIN,20,6,3,0
"51",FEMININ,9,4,1,0
"51",MASCULIN,18,8,4,0
"52",FEMININ,3,2,1,1
"52",MASCULIN,6,3,1,0
"53",FEMININ,6,4,1,0
"53",MASCULIN,9,5,2,0
"54",FEMININ,16,7,2,0
"54",MASCULIN,19,8,4,0
"55",FEMININ,3,1,1,1
"55",MASCULIN,8,3,1,0
"56",FEMININ,18,9,2,0
"56",MASCULIN,20,8,4,0
"57",FEMININ,20,7,2,0
"57",MASCULIN,37,13,7,2
"58",FEMININ,6,2,0,0
"58",MASCULIN,7,4,2,0
"59",FEMININ,46,18,6,1
"59",MASCULIN,77,34,15,5
"60",FEMININ,15,1,1,0
"60",MASCULIN,34,15,6,1
"61",FEMININ,11,5,1,0
"61",MASCULIN,10,3,2,0
"62",FEMININ,21,6,3,2
"62",MASCULIN,51,17,9,4
"63",FEMININ,16,8,2,0
"63",MASCULIN,14,5,3,0
"64",FEMININ,16,5,2,0
"64",MASCULIN,30,12,4,0
"65",FEMININ,4,2,1,0
"65",MASCULIN,11,4,1,0
"66",FEMININ,17,6,4,1
"66",MASCULIN,10,4,0,0
"67",FEMININ,30,9,2,0
"67",MASCULIN,56,12,7,0
"68",FEMININ,19,6,3,0
"68",MASCULIN,34,8,3,0
"69",FEMININ,44,15,6,1
"69",MASCULIN,60,24,8,0
"70",FEMININ,1,0,0,0
"70",MASCULIN,11,4,2,1
"71",FEMININ,7,4,1,0
"71",MASCULIN,22,11,4,0
"72",FEMININ,12,7,3,0
"72",MASCULIN,17,7,2,0
"73",FEMININ,13,8,2,0
"73",MASCULIN,12,4,2,0
"74",FEMININ,15,7,2,0
"74",MASCULIN,25,11,4,0
"75",FEMININ,105,20,11,5
"75",MASCULIN,99,18,7,4
"76",FEMININ,22,10,3,0
"76",MASCULIN,45,15,7,0
"77",FEMININ,33,14,3,0
"77",MASCULIN,40,16,8,1
"78",FEMININ,30,14,5,0
"78",MASCULIN,64,21,7,0
"79",FEMININ,9,4,1,0
"79",MASCULIN,9,3,2,0
"80",FEMININ,13,4,3,1
"80",MASCULIN,20,8,2,0
"81",FEMININ,4,2,0,0
"81",MASCULIN,15,7,3,0
"82",FEMININ,8,4,2,0
"82",MASCULIN,4,0,0,0
"83",FEMININ,23,7,2,2
"83",MASCULIN,33,9,6,3
"84",FEMININ,15,8,4,0
"84",MASCULIN,19,4,1,1
"85",FEMININ,11,5,2,0
"85",MASCULIN,17,10,3,0
"86",FEMININ,11,7,2,0
"86",MASCULIN,11,5,2,0
"87",FEMININ,8,5,2,0
"87",MASCULIN,6,4,1,0
"88",FEMININ,10,1,0,0
"88",MASCULIN,11,7,4,0
"89",FEMININ,10,2,1,0
"89",MASCULIN,10,5,2,1
"90",FEMININ,8,2,1,0
"90",MASCULIN,5,3,1,0
"91",FEMININ,28,10,5,0
"91",MASCULIN,46,18,5,0
"92",FEMININ,51,15,5,1
"92",MASCULIN,53,12,8,3
"93",FEMININ,42,8,5,3
"93",MASCULIN,56,11,7,3
"94",FEMININ,45,10,6,4
"94",MASCULIN,41,14,5,0
"95",FEMININ,41,13,4,0
"95",MASCULIN,50,11,6,2
"971",FEMININ,13,0,0,0
"971",MASCULIN,28,2,4,0
"972",FEMININ,7,0,0,0
"972",MASCULIN,21,3,4,0
"973",FEMININ,2,0,0,0
"973",MASCULIN,8,2,2,0
"974",FEMININ,20,2,2,0
"974",MASCULIN,41,6,5,0
"976",FEMININ,4,2,2,1
"976",MASCULIN,8,0,0,0
