"nuance_bloc","genre_candidat-es","voix_moyenne","voix_mediane","taux_voix/inscriptions_moyenne","taux_voix/exprimes_moyenne"
centre,FEMININ,11647,11727.0,13.35,19.80
centre,MASCULIN,11255,11190.0,13.19,19.67
divers,FEMININ,718,310.0,0.83,1.47
divers,MASCULIN,1479,389.0,1.87,3.79
droite,FEMININ,6797,4897.5,8.13,12.35
droite,MASCULIN,6646,4132.5,8.00,12.14
extrême-droite,FEMININ,9672,6303.0,11.49,17.24
extrême-droite,MASCULIN,12010,10539.0,13.70,20.94
extrême-gauche,FEMININ,567,523.0,0.68,1.04
extrême-gauche,MASCULIN,553,532.0,0.65,1.02
gauche,FEMININ,12471,13130.0,14.86,22.30
gauche,MASCULIN,11252,11493.0,13.41,20.71
