"dep_code","nuance","nuance_bloc","genre_candidat-es","voix_moyenne","voix_mediane","taux_voix/inscriptions_moyenne","taux_voix/exprimes_moyenne"
"01",ENS,centre,FEMININ,11728,11728.0,14.23,22.07
"01",ENS,centre,MASCULIN,12948,14367.0,13.39,19.25
"01",DIV,divers,FEMININ,34,34.0,0.04,0.06
"01",DIV,divers,MASCULIN,244,85.0,0.29,0.44
"01",DVD,droite,MASCULIN,9651,9651.0,12.39,18.73
"01",LR,droite,FEMININ,3663,3663.0,4.35,6.82
"01",LR,droite,MASCULIN,7509,6958.0,8.21,11.85
"01",DSV,extrême-droite,FEMININ,769,769.0,0.91,1.43
"01",DSV,extrême-droite,MASCULIN,256,255.5,0.30,0.43
"01",EXD,extrême-droite,MASCULIN,1863,1863.0,1.83,2.59
"01",REC,extrême-droite,FEMININ,429,429.0,0.55,0.83
"01",RN,extrême-droite,FEMININ,17252,17252.0,20.51,32.11
"01",RN,extrême-droite,MASCULIN,27410,28189.0,28.85,41.53
"01",UXD,extrême-droite,MASCULIN,20161,20161.0,25.88,39.12
"01",EXG,extrême-gauche,FEMININ,531,530.5,0.66,1.02
"01",EXG,extrême-gauche,MASCULIN,619,705.0,0.64,0.93
"01",ECO,gauche,MASCULIN,484,484.0,0.62,0.94
"01",UG,gauche,FEMININ,12828,12827.5,14.87,22.15
"01",UG,gauche,MASCULIN,14889,14188.0,16.35,24.06
"02",ENS,centre,FEMININ,10811,10811.0,13.10,20.73
"02",ENS,centre,MASCULIN,10414,10414.0,13.83,22.51
"02",DIV,divers,MASCULIN,316,316.0,0.44,0.69
"02",LR,droite,FEMININ,2665,2665.0,3.23,5.11
"02",LR,droite,MASCULIN,16288,16288.0,22.26,35.66
"02",DSV,extrême-droite,MASCULIN,1165,1165.0,1.77,2.85
"02",EXD,extrême-droite,MASCULIN,12065,12065.0,18.22,29.41
"02",REC,extrême-droite,FEMININ,11,11.0,0.02,0.03
"02",REC,extrême-droite,MASCULIN,603,602.5,0.83,1.33
"02",RN,extrême-droite,MASCULIN,24963,25343.5,32.53,52.42
"02",EXG,extrême-gauche,FEMININ,627,721.0,0.84,1.36
"02",EXG,extrême-gauche,MASCULIN,701,701.0,0.97,1.54
"02",DVG,gauche,MASCULIN,15385,15385.0,23.31,37.62
"02",UG,gauche,FEMININ,7923,7923.0,10.37,17.05
"02",UG,gauche,MASCULIN,9463,9463.0,12.23,19.37
"03",ENS,centre,FEMININ,6524,6524.0,8.17,12.57
"03",ENS,centre,MASCULIN,8811,8811.0,9.95,14.91
"03",UDI,centre,MASCULIN,1303,1303.0,1.47,2.20
"03",DVD,droite,MASCULIN,3548,3548.0,4.44,6.84
"03",LR,droite,FEMININ,7889,7889.0,8.91,13.35
"03",LR,droite,MASCULIN,15834,15834.0,19.79,29.86
"03",REC,extrême-droite,FEMININ,557,556.5,0.66,1.00
"03",RN,extrême-droite,FEMININ,22816,22816.0,25.77,38.61
"03",RN,extrême-droite,MASCULIN,19040,19040.0,23.81,36.08
"03",EXG,extrême-gauche,MASCULIN,787,802.0,0.96,1.45
"03",UG,gauche,FEMININ,11709,11708.5,14.65,22.23
"03",UG,gauche,MASCULIN,17043,17043.0,19.25,28.84
"04",ENS,centre,FEMININ,10162,10162.0,15.24,22.69
"04",ENS,centre,MASCULIN,8132,8132.0,13.23,19.35
"04",UDI,centre,FEMININ,1,1.0,0.00,0.00
"04",DVD,droite,MASCULIN,512,512.0,0.77,1.14
"04",LR,droite,FEMININ,2956,2956.0,4.81,7.03
"04",REC,extrême-droite,FEMININ,527,526.5,0.82,1.21
"04",RN,extrême-droite,MASCULIN,18616,18616.0,30.28,44.30
"04",UXD,extrême-droite,FEMININ,18314,18314.0,27.47,40.89
"04",EXG,extrême-gauche,FEMININ,396,396.0,0.64,0.94
"04",EXG,extrême-gauche,MASCULIN,438,438.0,0.66,0.98
"04",UG,gauche,MASCULIN,13116,13115.5,20.40,30.13
"05",ENS,centre,FEMININ,9312,9312.0,15.51,22.58
"05",ENS,centre,MASCULIN,10338,10338.0,18.96,26.70
"05",DIV,divers,MASCULIN,2206,2206.0,4.05,5.70
"05",LR,droite,MASCULIN,2949,2949.0,4.91,7.15
"05",RN,extrême-droite,MASCULIN,14444,14443.5,25.17,36.06
"05",EXG,extrême-gauche,FEMININ,643,643.0,1.07,1.56
"05",EXG,extrême-gauche,MASCULIN,394,394.0,0.72,1.02
"05",UG,gauche,FEMININ,12615,12614.5,22.08,31.59
"06",ENS,centre,FEMININ,11813,11813.0,13.05,19.90
"06",ENS,centre,MASCULIN,10213,9856.0,11.60,18.22
"06",DIV,divers,MASCULIN,1675,145.5,1.84,2.83
"06",REG,divers,MASCULIN,136,136.0,0.17,0.27
"06",LR,droite,FEMININ,16610,16213.0,20.19,30.66
"06",LR,droite,MASCULIN,8495,6162.0,9.14,13.66
"06",DSV,extrême-droite,MASCULIN,883,883.0,0.96,1.53
"06",EXD,extrême-droite,FEMININ,931,931.0,1.03,1.56
"06",EXD,extrême-droite,MASCULIN,900,900.0,1.09,1.66
"06",REC,extrême-droite,MASCULIN,932,932.0,0.97,1.41
"06",RN,extrême-droite,FEMININ,26769,26769.0,31.45,49.51
"06",RN,extrême-droite,MASCULIN,25806,25813.0,29.74,44.39
"06",UXD,extrême-droite,FEMININ,29804,29804.0,32.67,50.35
"06",UXD,extrême-droite,MASCULIN,22396,22396.0,25.78,41.26
"06",EXG,extrême-gauche,FEMININ,342,359.0,0.40,0.61
"06",EXG,extrême-gauche,MASCULIN,353,347.0,0.40,0.63
"06",ECO,gauche,FEMININ,1442,1651.0,1.65,2.58
"06",ECO,gauche,MASCULIN,2033,1927.0,2.33,3.52
"06",UG,gauche,FEMININ,10429,8935.0,11.95,18.50
"06",UG,gauche,MASCULIN,11673,11603.5,13.36,20.59
"07",ENS,centre,FEMININ,9278,9277.5,10.31,14.83
"07",ENS,centre,MASCULIN,5984,5984.0,7.39,10.43
"07",DIV,divers,MASCULIN,806,213.0,0.83,1.18
"07",REG,divers,MASCULIN,331,331.0,0.41,0.58
"07",DVD,droite,MASCULIN,12852,12851.5,14.79,20.94
"07",LR,droite,FEMININ,3067,3067.0,3.85,5.64
"07",DSV,extrême-droite,MASCULIN,632,632.0,0.73,1.05
"07",REC,extrême-droite,FEMININ,506,506.0,0.64,0.93
"07",REC,extrême-droite,MASCULIN,628,628.0,0.70,0.99
"07",RN,extrême-droite,FEMININ,21736,21736.0,27.31,39.95
"07",RN,extrême-droite,MASCULIN,18328,18328.0,22.62,31.95
"07",UXD,extrême-droite,MASCULIN,24417,24417.0,25.14,35.75
"07",EXG,extrême-gauche,FEMININ,564,563.5,0.64,0.92
"07",EXG,extrême-gauche,MASCULIN,428,474.0,0.53,0.76
"07",UG,gauche,FEMININ,16645,16645.0,18.80,26.64
"07",UG,gauche,MASCULIN,20809,20809.0,26.14,38.24
"08",ENS,centre,MASCULIN,7812,7812.0,11.48,17.77
"08",DIV,divers,MASCULIN,998,998.0,1.41,2.15
"08",DVD,droite,MASCULIN,13255,13254.5,23.35,36.86
"08",LR,droite,FEMININ,1782,1782.0,2.52,3.83
"08",EXD,extrême-droite,MASCULIN,4257,4257.0,6.02,9.16
"08",RN,extrême-droite,FEMININ,15197,15196.5,26.56,42.11
"08",RN,extrême-droite,MASCULIN,17817,17817.0,25.21,38.33
"08",EXG,extrême-gauche,FEMININ,387,386.0,0.64,0.99
"08",EXG,extrême-gauche,MASCULIN,264,264.0,0.44,0.71
"08",ECO,gauche,FEMININ,956,956.0,1.35,2.06
"08",UG,gauche,FEMININ,4139,4139.0,7.60,11.74
"08",UG,gauche,MASCULIN,7408,7407.5,11.30,17.79
"09",DVD,droite,MASCULIN,2023,2023.0,3.26,4.90
"09",REC,extrême-droite,FEMININ,804,804.0,1.30,1.95
