"dep_code","genre_candidat-es","voix_moyenne","voix_mediane","taux_voix/inscriptions_moyenne","taux_voix/exprimes_moyenne"
"01",FEMININ,6574,3663.0,7.81,11.97
"01",MASCULIN,9241,7063.0,10.11,14.73
"02",FEMININ,3247,797.5,4.13,6.68
"02",MASCULIN,11694,10380.0,15.83,25.48
"03",FEMININ,8823,7889.0,10.49,15.86
"03",MASCULIN,9347,8811.0,11.38,17.18
"04",FEMININ,4697,585.0,7.11,10.57
"04",MASCULIN,8988,9794.5,14.29,21.00
"05",FEMININ,8796,10940.0,15.18,21.83
"05",MASCULIN,7462,6643.5,13.16,18.78
"06",FEMININ,8526,5026.5,9.87,15.24
"06",MASCULIN,8737,6375.0,9.95,15.26
"07",FEMININ,8698,6651.0,10.14,14.59
"07",MASCULIN,5988,651.0,6.95,9.92
"08",FEMININ,4804,1369.0,8.31,13.10
"08",MASCULIN,8028,7407.5,12.53,19.52
"09",FEMININ,8267,2756.0,13.90,20.97
"09",MASCULIN,9466,8536.0,15.77,23.79
"10",FEMININ,8656,7137.5,12.47,18.99
"10",MASCULIN,7420,4921.0,11.08,16.92
"11",FEMININ,3944,573.0,4.28,6.43
"11",MASCULIN,10034,2096.0,10.63,15.71
"12",FEMININ,5645,595.0,8.25,11.70
"12",MASCULIN,11492,14675.0,15.62,22.08
"13",FEMININ,5235,864.5,5.83,9.03
"13",MASCULIN,8951,2653.0,9.84,15.27
"14",FEMININ,8241,7159.0,9.67,13.96
"14",MASCULIN,9560,8231.0,11.05,16.10
"15",FEMININ,7118,7406.0,11.82,16.79
"15",MASCULIN,5750,3348.0,10.28,14.76
"16",FEMININ,10833,13149.5,12.47,18.80
"16",MASCULIN,7026,2259.5,8.24,12.47
"17",FEMININ,10073,8111.5,9.12,13.37
"17",MASCULIN,15013,15637.0,14.58,21.55
"18",FEMININ,2726,680.0,3.30,5.07
"18",MASCULIN,9898,11432.0,13.47,21.13
"19",FEMININ,12486,17063.0,13.47,19.32
"19",MASCULIN,16837,21033.0,18.25,25.85
"21",FEMININ,8687,10655.5,12.35,17.72
"21",MASCULIN,8350,5054.0,11.00,15.97
"22",FEMININ,9329,1806.0,10.16,14.14
"22",MASCULIN,11957,11922.0,12.42,17.22
"23",FEMININ,6022,958.0,6.69,9.84
"23",MASCULIN,15537,15536.5,17.27,25.40
"24",FEMININ,10526,9218.0,13.71,19.71
"24",MASCULIN,8244,6655.0,9.97,14.49
"25",FEMININ,9953,10457.0,13.27,19.83
"25",MASCULIN,8169,7851.5,11.10,16.38
"26",FEMININ,10949,8635.0,11.14,16.18
"26",MASCULIN,9715,6684.0,10.14,14.80
"27",FEMININ,7416,3605.5,8.79,13.43
"27",MASCULIN,9587,6259.0,10.81,16.42
"28",FEMININ,5856,659.0,7.20,11.15
"28",MASCULIN,9736,8928.5,12.91,20.12
"29",FEMININ,10828,15927.0,12.03,16.64
"29",MASCULIN,7952,4470.0,8.96,12.64
"2A",FEMININ,6149,6538.0,11.05,17.55
"2A",MASCULIN,4874,3125.0,8.39,13.40
"2B",FEMININ,3568,1474.0,5.25,8.05
"2B",MASCULIN,4840,2161.0,7.50,11.99
"30",FEMININ,9058,7349.5,9.66,14.38
"30",MASCULIN,11564,8754.5,12.32,18.50
"31",FEMININ,9359,2187.0,9.97,14.00
"31",MASCULIN,9065,1104.0,9.38,13.41
"32",FEMININ,4653,633.0,6.32,8.81
"32",MASCULIN,8544,1375.0,11.64,16.35
"33",FEMININ,11880,12766.0,12.15,17.69
"33",MASCULIN,10827,3041.0,10.93,15.80
"34",FEMININ,10971,7202.0,11.74,17.40
"34",MASCULIN,10283,2337.5,10.37,15.50
"35",FEMININ,13814,16209.0,14.11,19.63
"35",MASCULIN,10165,3390.0,10.32,14.36
"36",FEMININ,7971,5707.0,10.34,16.22
"36",MASCULIN,12670,15519.5,14.94,22.52
"37",FEMININ,11336,14457.0,12.56,18.54
"37",MASCULIN,8760,3011.0,9.92,14.80
"38",FEMININ,9909,7908.0,11.34,16.46
"38",MASCULIN,8441,918.5,9.16,13.04
"39",FEMININ,11903,15369.0,18.56,27.00
"39",MASCULIN,5995,5523.0,9.59,14.01
"40",FEMININ,11353,3343.0,10.60,15.27
"40",MASCULIN,9343,2771.5,8.13,11.61
"41",FEMININ,10559,10027.0,12.96,19.54
"41",MASCULIN,6756,2835.0,8.31,12.64
"42",FEMININ,8913,1368.0,10.70,16.13
