"nuance","nuance_bloc","genre_candidat-es","voix_moyenne","voix_mediane","taux_voix/inscriptions_moyenne","taux_voix/exprimes_moyenne"
DVC,centre,FEMININ,1214,697.5,1.56,3.00
DVC,centre,MASCULIN,3539,944.0,4.19,6.62
ENS,centre,FEMININ,14403,13908.0,16.39,24.06
ENS,centre,MASCULIN,14464,14455.0,16.91,24.98
HOR,centre,FEMININ,15851,17168.0,19.20,29.25
HOR,centre,MASCULIN,15853,16784.0,18.06,27.60
UDI,centre,FEMININ,4643,1899.5,6.21,10.27
UDI,centre,MASCULIN,4473,2454.0,5.78,9.30
DIV,divers,FEMININ,596,182.0,0.65,1.14
DIV,divers,MASCULIN,772,170.0,0.93,1.54
REG,divers,FEMININ,819,765.5,0.97,1.75
REG,divers,MASCULIN,2965,1130.0,3.85,8.51
DVD,droite,FEMININ,6978,5594.5,8.55,14.16
DVD,droite,MASCULIN,6006,2559.5,7.44,11.58
LR,droite,FEMININ,6736,4826.0,7.99,11.75
LR,droite,MASCULIN,7093,4809.0,8.40,12.53
DSV,extrême-droite,FEMININ,596,628.0,0.68,1.03
DSV,extrême-droite,MASCULIN,992,767.0,1.18,1.81
EXD,extrême-droite,FEMININ,340,95.0,0.41,0.62
EXD,extrême-droite,MASCULIN,3530,726.5,4.75,7.53
REC,extrême-droite,FEMININ,709,635.0,0.83,1.26
REC,extrême-droite,MASCULIN,743,719.0,0.87,1.30
RN,extrême-droite,FEMININ,16940,17071.5,20.16,30.25
RN,extrême-droite,MASCULIN,21001,21475.0,24.05,36.94
UXD,extrême-droite,FEMININ,19727,20997.0,23.30,34.20
UXD,extrême-droite,MASCULIN,20157,20891.0,22.18,33.00
EXG,extrême-gauche,FEMININ,567,523.0,0.68,1.04
EXG,extrême-gauche,MASCULIN,553,532.0,0.65,1.02
COM,gauche,MASCULIN,3125,3125.0,5.95,9.40
DVG,gauche,FEMININ,3046,352.5,3.60,6.52
DVG,gauche,MASCULIN,4077,792.5,4.85,9.04
ECO,gauche,FEMININ,1558,956.0,1.74,2.62
ECO,gauche,MASCULIN,1057,943.0,1.25,1.94
FI,gauche,MASCULIN,5907,5907.0,8.98,16.40
RDG,gauche,FEMININ,9952,9952.0,10.24,15.02
RDG,gauche,MASCULIN,2260,2260.0,2.44,3.39
SOC,gauche,FEMININ,4489,4489.0,7.45,25.26
SOC,gauche,MASCULIN,6072,4570.5,8.61,23.96
UG,gauche,FEMININ,16156,15503.0,19.27,28.73
UG,gauche,MASCULIN,16752,16178.0,19.93,30.10
VEC,gauche,FEMININ,2668,2668.0,3.93,6.02
